,ACCIDENT LOCATION,ACCIDENT Date,Killed NUMBER,Vehicle 1,Vehicle 2,Time (around),Part of the Day
0,osmaninagar,"June 12, 2023",3,truck,,4am,Night
1,kaliganj,"June 11, 2023",2,truck,bike,11pm,Night
2,lalmonirhat,"June 11, 2023",2,truck,bike,11pm,Night
5,naogaon,"June 05, 2023",4,truck,rickshaw,1 pm,Afternoon
6,kaliganj,"June 03, 2023",3,truck,rickshaw,11am,Morning
7,lalmonirhat,"June 03, 2023",3,truck,rickshaw,11am,Morning
8,madhupur,"June 02, 2023",8,bus,rickshaw,8am,Morning
10,feni,"June 01, 2023",3,pickup,,2am,Night
14,adamdighi,"May 28, 2023",10,bus,,8am,Morning
15,paikpara,"May 26, 2023",2,bike,bus,1pm,Afternoon
16,mirzapur,"May 26, 2023",2,bike,bus,1pm,Afternoon
17,dinajpur,"May 24, 2023",10,bus,,10am,Morning
18,jashore,"May 04, 2023",6,rickshaw,auto-rickshaw,7am,Morning
19,jhenaidah,"May 04, 2023",6,rickshaw,auto-rickshaw,7am,Morning
21,madaripur,"May 01, 2023",2,truck,,4am,Night
23,adamdighi,"April 30, 2023",4,motorcycle,car,10am,Morning
25,bhola,"April 18, 2023",3,rickshaw,auto-rickshaw,1pm,Afternoon
26,doulatkhan,"April 18, 2023",3,rickshaw,auto-rickshaw,1pm,Afternoon
27,narayanganj,"April 16, 2023",2,truck,rickshaw,7am,Morning
28,madanpur,"April 16, 2023",2,truck,rickshaw,7am,Morning
29,dinajpur,"April 16, 2023",12,bus,pickup,6am,Morning
30,birampur,"April 16, 2023",12,bus,pickup,6am,Morning
35,jamalpur,"April 09, 2023",3,truck,pickup,7am,Morning
40,dhaka,"April 01, 2023",1,motorcycle,bike,10pm,Night
41,uttara,"March 23, 2023",1,bus,train,7pm,Evening
42,gouripur,"March 23, 2023",2,truck,rickshaw,10pm,Night
43,bandarban,"March 20, 2023",4,truck,car,1pm,Afternoon
45,dhaka,"March 19, 2023",1,bike,truck,12am,Afternoon
48,khulna,"March 06, 2023",2,truck,pickup,4am,Night
50,gazaria,"March 05, 2023",2,bus,car,3am,Night
52,dhaka,"March 02, 2023",1,bus,,7am,Morning
53,jatrabari,"March 02, 2023",1,bus,,7am,Morning
54,dhaka,"February 27, 2023",1,truck,motorcycle,7am,Morning
55,dhaka,"February 26, 2023",5,truck,,5am,Morning
56,jatrabari,"February 26, 2023",5,truck,,5am,Morning
58,shajahanpur,"February 24, 2023",5,rickshaw,bus,11am,Morning
60,jatrabari,"February 23, 2023",1,bus,motorcycle,9am,Morning
61,puthia,"February 18, 2023",2,bike,truck,5pm,Afternoon
62,rajshahi,"February 18, 2023",2,bike,truck,5pm,Afternoon
63,mokamtala,"February 05, 2023",3,car,truck,9pm,Night
65,jatrabari,"February 04, 2023",1,bike,motorcycle,2pm,Afternoon
74,naogaon,"January 12, 2023",3,truck,,5am,Morning
75,rajshahi,"January 11, 2023",11,truck,bike,2 am,Night
76,rangpur,"January 11, 2023",11,truck,bike,2 am,Night
77,khulna,"January 04, 2023",6,motorcycle,rickshaw,11am,Morning
78,magura,"January 04, 2023",6,motorcycle,rickshaw,11am,Morning
81,bhanga,"December 29, 2022",3,car,truck,7am,Morning
82,gazipur,"December 27, 2022",1,bus,,7am,Morning
83,patuakhali,"December 26, 2022",3,motorcycle,bike,9pm,Night
84,kalapara,"December 26, 2022",3,motorcycle,bike,9pm,Night
85,daganbhuiyan,"December 25, 2022",8,bus,bike,11am,Morning
86,feni,"December 25, 2022",8,bus,bike,11am,Morning
87,meherpur,"December 24, 2022",7,truck,bus,9am,Morning
88,rangamati,"December 24, 2022",7,truck,bus,9am,Morning
90,sakhipur,"December 23, 2022",3,truck,motorcycle,9am,Morning
92,rangpur,"December 19, 2022",5,truck,rickshaw,6pm,Evening
94,tarakanda,"December 13, 2022",2,truck,rickshaw,11am,Morning
96,hakimpur,"December 12, 2022",2,motorcycle,,6pm,Evening
97,ishwardi,"December 08, 2022",1,truck,motorcycle,6am,Morning
98,pabna,"December 08, 2022",1,truck,motorcycle,6am,Morning
99,bahirchar,"December 03, 2022",2,truck,bike,7am,Morning
100,bheramara,"December 03, 2022",2,truck,bike,7am,Morning
103,faridpur,"November 19, 2022",2,motorcycle,,2pm,Afternoon
106,lalpur,"November 19, 2022",10,bus,motorcycle,11pm,Night
107,narsingdi,"November 15, 2022",3,bus,pickup,4am,Night
110,shahjahanpur,"November 12, 2022",3,bus,rickshaw,8pm,Night
115,munshiganj,"November 07, 2022",2,car,,10pm,Night
122,rangamati,"October 19, 2022",6,car,,11am,Morning
123,dhaka,"October 19, 2022",6,car,,11am,Morning
124,magura,"October 18, 2022",3,bus,motorcycle,1pm,Afternoon
125,chattogram,"October 18, 2022",3,bus,motorcycle,1pm,Afternoon
128,sylhet,"October 17, 2022",2,bus,,5am,Morning
129,gazipur,"October 15, 2022",4,bus,,8am,Morning
131,narsingdi,"October 12, 2022",2,bus,rickshaw,8am,Morning
133,shyampur,"October 11, 2022",2,bike,pickup,2pm,Afternoon
134,dhaka,"October 11, 2022",2,bike,pickup,2pm,Afternoon
136,jhenaidah,"October 08, 2022",3,motorcycle,truck,10pm,Night
139,bera,"October 06, 2022",6,bus,,12pm,Night
140,patuakhali,"September 25, 2022",4,truck,motorcycle,5am,Morning
142,bakerganj,"September 21, 2022",2,bike,bus,7am,Morning
146,kachua,"September 11, 2022",8,truck,rickshaw,2pm,Afternoon
148,khulna,"September 08, 2022",1,truck,,12am,Afternoon
151,nilphamari,"September 05, 2022",8,bus,,12am,Afternoon
152,nandigram,"September 04, 2022",2,truck,rickshaw,11am,Morning
153,bogura,"September 04, 2022",2,truck,rickshaw,11am,Morning
154,golapganj,"September 03, 2022",3,rickshaw,auto-rickshaw,9am,Morning
155,nakla,"August 23, 2022",11,truck,,7am,Morning
156,sherpur,"August 23, 2022",11,truck,,7am,Morning
158,bakerganj,"August 22, 2022",3,bus,,10am,Morning
161,shahjahanpur,"August 18, 2022",4,truck,rickshaw,6pm,Evening
162,dhaka,"August 14, 2022",1,rickshaw,,5am,Morning
163,muladi,"August 14, 2022",1,rickshaw,,5am,Morning
164,munshiganj,"August 14, 2022",5,bus,truck,3pm,Afternoon
165,pabna,"August 14, 2022",5,bus,truck,3pm,Afternoon
167,dhaka,"August 13, 2022",1,truck,,5am,Morning
170,chattogram,"August 03, 2022",3,bus,,7am,Morning
171,mirsharai,"August 02, 2022",1,truck,,8am,Morning
172,chattogram,"August 02, 2022",1,truck,,8am,Morning
174,habiganj,"July 31, 2022",7,truck,motorcycle,9am,Morning
175,sylhet,"July 31, 2022",7,truck,motorcycle,9am,Morning
176,sylhet,"July 29, 2022",7,bus,rickshaw,4am,Night
180,chattogram,"July 24, 2022",4,motorcycle,truck,3pm,Afternoon
182,sylhet,"July 20, 2022",6,rickshaw,bus,2pm,Afternoon
183,brahmanbaria,"July 19, 2022",3,bus,rickshaw,6pm,Evening
184,madanpur,"July 15, 2022",3,bus,car,10am,Morning
185,narayanganj,"July 15, 2022",3,bus,car,10am,Morning
187,dinajpur,"July 13, 2022",3,car,,11pm,Night
188,shyampur,"July 12, 2022",1,bus,,1pm,Afternoon
189,dhaka,"July 12, 2022",1,bus,,1pm,Afternoon
190,dhaka,"July 08, 2022",1,truck,bike,10am,Morning
195,jaintapur,"July 04, 2022",3,truck,motorcycle,3pm,Afternoon
196,sylhet,"July 04, 2022",3,truck,motorcycle,3pm,Afternoon
197,kishoreganj,"July 02, 2022",3,bus,truck,3pm,Afternoon
198,shibchar,"July 02, 2022",3,bus,truck,3pm,Afternoon
199,goalanda,"June 26, 2022",2,truck,bike,10pm,Night
200,faridpur,"June 26, 2022",2,truck,bike,10pm,Night
201,chattogram,"June 26, 2022",2,truck,motorcycle,11am,Morning
203,rajshahi,"June 22, 2022",3,truck,motorcycle,3pm,Afternoon
207,dhaka,"June 16, 2022",7,motorcycle,truck,7am,Morning
209,chattogram,"June 16, 2022",7,truck,motorcycle,12pm,Night
210,kushtia,"June 09, 2022",1,truck,,10am,Morning
213,pabna,"June 02, 2022",7,bus,truck,1pm,Afternoon
214,rajbari,"June 01, 2022",7,truck,rickshaw,3pm,Afternoon
