ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
0,0,Apan,8/31/2020 22:41,One,car,auto,
1,0,Jurain,8/31/2020 22:41,One,car,auto,
2,4,Chandpur,8/31/2020 22:47,Two,bike,,
3,7,Jashore,9/1/2020 22:02,One,truck,,
5,14,Paraichak,9/4/2020 22:01,Two,bus,,
7,17,Nishikanda,9/4/2020 22:02,Three,bus,rickshaw,auto
8,20,Dhamrai,9/5/2020 22:42,3,bus,,
9,20,Bangladesh,9/5/2020 22:42,3,bus,,
11,30,Madhabpur,9/7/2020 22:13,7,truck,car,
12,30,Habiganj,9/7/2020 22:13,7,truck,car,
13,31,Bagherpara,9/8/2020 22:00,six,truck,car,motorcycle
14,31,Nayapara,9/8/2020 22:00,six,truck,car,motorcycle
16,35,Fatullah,9/8/2020 22:01,27,car,,
17,35,Narayanganj,9/8/2020 22:01,27,car,,
18,37,Barisal,9/9/2020 22:03,9,bus,,
19,45,Narayanganj,9/10/2020 22:02,first,car,,
20,48,Netrokona,9/11/2020 22:02,42,truck,bus,bike
21,48,Purbadhala,9/11/2020 22:02,42,truck,bus,bike
22,50,Dhaka,9/11/2020 22:02,three,auto,,
23,50,Bashundhara,9/11/2020 22:02,three,auto,,
25,59,Bangladesh,9/15/2020 22:01,5000,auto,,
26,61,Brahmanbaria,9/15/2020 22:01,one,motorcycle,auto,
27,63,Panchagarh,9/16/2020 22:01,Two,bus,car,motorcycle
29,67,Khulna,9/17/2020 22:25,two,truck,,
30,68,Magura,9/18/2020 22:02,two,truck,bus,bike
31,69,Magura,9/18/2020 22:02,Four,bus,,
32,73,Khulna,9/19/2020 22:03,Three,bus,bike,motorcycle
33,74,Dhaka,9/20/2020 22:15,One,auto,,
34,76,Jatrabari,9/21/2020 22:01,12,truck,bike,motorcycle
35,76,Dhaka,9/21/2020 22:01,12,truck,bike,motorcycle
36,81,Gulshan,9/21/2020 22:01,2019,car,rickshaw,
38,91,Lokoja,9/24/2020 22:02,23,truck,bus,
39,94,Bapta,9/26/2020 22:01,One,truck,motorcycle,
40,94,Bhola,9/26/2020 22:01,One,truck,motorcycle,
43,97,Chapainawabganj,9/28/2020 22:01,three,car,,
44,97,Panthapath,9/28/2020 22:01,three,car,,
45,99,Bhola,9/29/2020 22:01,two,bus,motorcycle,rickshaw
46,99,Bhola,9/29/2020 22:01,two,bus,motorcycle,rickshaw
47,101,Mexico,9/29/2020 22:01,13,bus,,
48,102,Mexico,9/29/2020 22:02,13,bus,,
49,104,Long,10/1/2020 22:05,24,car,,
50,104,Island,10/1/2020 22:05,24,car,,
51,107,Saidabad,10/2/2020 22:01,One,truck,motorcycle,
52,111,Korpai,10/3/2020 22:01,Two,bus,,
53,111,Burichang,10/3/2020 22:01,Two,bus,,
54,112,Korpai,10/3/2020 22:02,Two,bus,,
55,112,Burichang,10/3/2020 22:02,Two,bus,,
56,114,Kalma,10/5/2020 23:03,553,bus,motorcycle,
57,114,Bangladesh,10/5/2020 23:03,553,bus,motorcycle,
58,116,Queens,10/5/2020 23:17,one,car,,
59,116,New,10/5/2020 23:17,one,car,,
61,118,Afghanistan,10/6/2020 22:03,29,car,,
62,120,Kalma,10/6/2020 22:04,553,bus,motorcycle,
63,120,Bangladesh,10/6/2020 22:04,553,bus,motorcycle,
64,124,Kamaliarchar,10/6/2020 22:04,three,truck,rickshaw,auto
65,124,Bulbul,10/6/2020 22:04,three,truck,rickshaw,auto
66,125,Khulna,10/8/2020 22:02,four,bus,rickshaw,auto
67,125,Dumuria,10/8/2020 22:02,four,bus,rickshaw,auto
68,126,Jahidul,10/8/2020 22:02,18,truck,auto,
69,128,Brahmanbaria,10/8/2020 22:02,three,bus,bike,
70,131,Islampur,10/8/2020 22:03,three,bus,bike,
71,132,Habiganj,10/9/2020 22:01,20,truck,bus,rickshaw
