,ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
2,2,4,chandpur,8/31/2020 22:47,2,bike,,
3,3,7,jashore,9/1/2020 22:02,1,truck,,
6,8,20,dhamrai,9/5/2020 22:42,3,bus,,
8,11,30,madhabpur,9/7/2020 22:13,7,truck,car,
9,12,30,habiganj,9/7/2020 22:13,7,truck,car,
10,13,31,bagherpara,9/8/2020 22:00,6,truck,car,motorcycle
14,18,37,barisal,9/9/2020 22:03,9,bus,,
18,22,50,dhaka,9/11/2020 22:02,3,auto,,
21,26,61,brahmanbaria,9/15/2020 22:01,1,motorcycle,auto,
22,27,63,panchagarh,9/16/2020 22:01,2,bus,car,motorcycle
23,29,67,khulna,9/17/2020 22:25,2,truck,,
24,30,68,magura,9/18/2020 22:02,2,truck,bus,bike
25,31,69,magura,9/18/2020 22:02,4,bus,,
26,32,73,khulna,9/19/2020 22:03,3,bus,bike,motorcycle
27,33,74,dhaka,9/20/2020 22:15,1,auto,,
28,34,76,jatrabari,9/21/2020 22:01,12,truck,bike,motorcycle
29,35,76,dhaka,9/21/2020 22:01,12,truck,bike,motorcycle
32,39,94,bapta,9/26/2020 22:01,1,truck,motorcycle,
33,40,94,bhola,9/26/2020 22:01,1,truck,motorcycle,
34,43,97,chapainawabganj,9/28/2020 22:01,3,car,,
36,45,99,bhola,9/29/2020 22:01,2,bus,motorcycle,rickshaw
37,46,99,bhola,9/29/2020 22:01,2,bus,motorcycle,rickshaw
44,53,111,burichang,10/3/2020 22:01,2,bus,,
46,55,112,burichang,10/3/2020 22:02,2,bus,,
56,66,125,khulna,10/8/2020 22:02,4,bus,rickshaw,auto
57,67,125,dumuria,10/8/2020 22:02,4,bus,rickshaw,auto
59,69,128,brahmanbaria,10/8/2020 22:02,3,bus,bike,
60,70,131,islampur,10/8/2020 22:03,3,bus,bike,
64,74,133,rajagaon,10/9/2020 22:01,2,motorcycle,,
65,75,134,panchagarh,10/9/2020 22:01,2,motorcycle,auto,
67,77,135,rajagaon,10/9/2020 22:02,2,motorcycle,,
68,78,136,islampur,10/9/2020 22:02,3,bus,bike,
69,79,136,brahmanbaria,10/9/2020 22:02,3,bus,bike,
70,80,139,gazipur,10/10/2020 22:01,2,truck,rickshaw,auto
71,81,139,satkhamair,10/10/2020 22:01,2,truck,rickshaw,auto
76,86,150,mithapukur,10/12/2020 22:02,1,truck,motorcycle,
77,87,150,rangpur,10/12/2020 22:02,1,truck,motorcycle,
78,88,152,naogaon,10/15/2020 23:29,2,bus,bike,auto
85,95,158,naogaon,10/16/2020 22:01,2,bus,bike,auto
86,96,160,gopalganj,10/17/2020 22:02,4,truck,bike,rickshaw
87,97,160,rangamati,10/17/2020 22:02,4,truck,bike,rickshaw
