,ACCIDENT LOCATION,ACCIDENT Date,Killed NUMBER,Vehicle 1,Vehicle 2
0,naogaon,2023,5,bus,pickup
1,bhola,2023,5,bus,pickup
6,munshiganj,2023,4,bus,truck
7,faridpur,2023,2,bike,pickup
10,bhola,2023,3,rickshaw,auto-rickshaw
11,doulatkhan,2023,3,rickshaw,auto-rickshaw
13,dinajpur,2023,4,bus,pickup
14,kutubpur,2023,1,bus,
15,madaripur,2023,1,bus,
16,islamabad,2023,1,car,
18,narayanganj,2023,2,truck,rickshaw
19,madanpur,2023,2,truck,rickshaw
20,dinajpur,2023,12,bus,pickup
21,birampur,2023,12,bus,pickup
30,jamalpur,2023,6,truck,rickshaw
31,malancha,2023,6,truck,rickshaw
32,dhaka,2023,5,motorcycle,
34,jamalpur,2023,3,truck,pickup
36,sylhet,2023,2,truck,rickshaw
38,sarail,2023,2,rickshaw,truck
41,dinajpur,2023,3,motorcycle,truck
42,chapainawabganj,2023,3,motorcycle,truck
43,dhaka,2023,1,car,
44,khilgaon,2023,1,car,
48,dhaka,2023,1,motorcycle,bike
50,fakirhat,2023,1,truck,car
55,dhaka,2023,1,bike,truck
59,srinagar,2023,7,truck,bus
60,munshiganj,2023,7,truck,bus
61,matuail,2023,6,truck,bike
62,dinajpur,2023,6,truck,bike
65,chattogram,2023,7,car,rickshaw
66,halishahar,2023,7,car,rickshaw
68,gazipur,2023,2,car,truck
74,khulna,2023,2,truck,pickup
78,gazaria,2023,2,bus,car
80,panchagarh,2023,9,bus,truck
81,debiganj,2023,9,bus,truck
82,dhaka,2023,1,bus,
83,jatrabari,2023,1,bus,
84,dhaka,2023,1,truck,motorcycle
85,dhaka,2023,1,truck,
86,jatrabari,2023,1,truck,
87,rajshahi,2023,5,bus,motorcycle
88,dhaka,2023,5,bus,motorcycle
90,shajahanpur,2023,5,rickshaw,bus
92,jatrabari,2023,1,bus,motorcycle
95,puthia,2023,2,bike,truck
96,rajshahi,2023,2,bike,truck
100,chunati,2023,6,bus,truck
101,chattogram,2023,6,bus,truck
102,mokamtala,2023,3,car,truck
104,jatrabari,2023,1,bike,motorcycle
105,naniarchar,2023,1,truck,motorcycle
106,rangamati,2023,1,truck,motorcycle
107,mymensingh,2023,2,truck,rickshaw
112,meherpur,2023,1,truck,motorcycle
116,gazipur,2023,3,truck,bus
118,gazipur,2023,1,truck,bus
123,sreepur,2023,3,motorcycle,truck
126,chattogram,2023,4,motorcycle,bus
127,gaibandha,2023,4,motorcycle,bus
132,sylhet,2023,8,rickshaw,auto-rickshaw
134,naogaon,2023,3,truck,
135,rajshahi,2023,11,truck,bike
136,rangpur,2023,11,truck,bike
139,rajshahi,2023,2,bus,motorcycle
140,chattogram,2023,4,rickshaw,truck
141,gazipur,2023,4,rickshaw,truck
143,khulna,2023,6,motorcycle,rickshaw
144,magura,2023,6,motorcycle,rickshaw
151,bhanga,2022,3,car,truck
152,rajshahi,2022,5,motorcycle,truck
153,gazipur,2022,1,bus,
154,jashore,2022,3,motorcycle,car
155,patuakhali,2022,3,motorcycle,bike
156,kalapara,2022,3,motorcycle,bike
157,daganbhuiyan,2022,8,bus,bike
158,feni,2022,8,bus,bike
159,kurigram,2022,5,bus,rickshaw
160,trimohini,2022,5,bus,rickshaw
161,meherpur,2022,7,truck,bus
162,rangamati,2022,7,truck,bus
166,sakhipur,2022,3,truck,motorcycle
168,rangpur,2022,5,truck,rickshaw
170,sherpur,2022,5,bus,car
171,pirojpur,2022,5,bus,car
172,dhaka,2022,4,rickshaw,auto-rickshaw
176,tarakanda,2022,2,truck,rickshaw
178,hakimpur,2022,2,motorcycle,
179,ishwardi,2022,1,truck,motorcycle
180,pabna,2022,1,truck,motorcycle
181,dinajpur,2022,5,truck,motorcycle
182,narail,2022,5,truck,motorcycle
183,sherpur,2022,15,bus,car
184,dhaka,2022,15,bus,car
188,bahirchar,2022,2,truck,bike
189,bheramara,2022,2,truck,bike
194,jashore,2022,7,motorcycle,bike
195,thakurgaon,2022,5,bus,bike
197,chandpur,2022,3,bike,
198,dhaka,2022,4,motorcycle,bus
199,dhamrai,2022,4,motorcycle,bus
201,faridpur,2022,2,motorcycle,
204,lalpur,2022,10,bus,motorcycle
205,narsingdi,2022,3,bus,pickup
208,shahjahanpur,2022,3,bus,rickshaw
209,chattogram,2022,3,bus,truck
210,adhunagar,2022,3,bus,truck
214,faridpur,2022,9,bus,
216,munshiganj,2022,2,car,
217,barguna,2022,5,bike,motorcycle
218,chuadanga,2022,5,bike,motorcycle
221,dinajpur,2022,1,bus,truck
225,mymensingh,2022,3,truck,bike
226,sylhet,2022,4,motorcycle,bus
228,gulshan,2022,2,bus,
234,tangail,2022,5,pickup,motorcycle
235,kalihati,2022,5,pickup,motorcycle
238,khulna,2022,2,motorcycle,bike
240,dinajpur,2022,3,bike,
243,birulia,2022,2,truck,
244,dhaka,2022,2,truck,
248,noagaon,2022,7,bus,truck
249,naogaon,2022,7,bus,truck
250,sathia,2022,2,truck,
251,pabna,2022,2,truck,
252,naogaon,2022,4,bus,truck
253,mohadevpur,2022,4,bus,truck
254,chattogram,2022,8,car,truck
255,adhunagar,2022,8,car,truck
256,adhunagar,2022,4,car,truck
257,lohagara,2022,4,car,truck
258,dinajpur,2022,2,motorcycle,truck
259,madhabpur,2022,3,truck,
260,habiganj,2022,3,truck,
261,narsingdi,2022,7,bus,truck
262,rajbari,2022,7,bus,truck
263,guabaria,2022,2,motorcycle,
266,nilphamari,2022,4,truck,motorcycle
267,patuakhali,2022,7,motorcycle,pickup
268,magura,2022,7,motorcycle,pickup
269,dhaka,2022,5,bike,truck
271,shayestaganj,2022,3,bus,truck
272,habiganj,2022,3,bus,truck
274,mirpur,2022,1,truck,motorcycle
275,amtoli,2022,1,pickup,
276,barguna,2022,1,pickup,
277,jashore,2022,3,motorcycle,bike
279,pirojpur,2022,4,bus,motorcycle
280,atulia,2022,4,bus,motorcycle
281,pirojpur,2022,2,truck,
284,dinajpur,2022,2,truck,motorcycle
285,rangamati,2022,2,truck,motorcycle
288,bijoynagar,2022,4,rickshaw,auto-rickshaw
289,brahmanbaria,2022,4,rickshaw,auto-rickshaw
292,chakaria,2022,8,motorcycle,pickup
297,lalmonirhat,2022,10,truck,rickshaw
298,munshiganj,2022,10,truck,rickshaw
300,dhaka,2022,7,truck,motorcycle
301,jashore,2022,7,truck,motorcycle
302,dhaka,2022,2,motorcycle,bike
304,dinajpur,2022,4,bus,truck
305,gazipur,2022,4,bus,truck
306,dinajpur,2022,2,bus,truck
308,dhaka,2022,5,pickup,bus
309,chattogram,2022,2,motorcycle,
311,chattogram,2022,5,motorcycle,pickup
314,chuadanga,2022,3,motorcycle,bus
316,dhaka,2022,1,car,truck
323,dhaka,2022,2,truck,
